shastragaar,शस्त्रागार,शस्त्रागार
bindhya,बिन्द्या,बिन्द्या
kirankant,किरणकांत,किरणकांत
yagyopaveet,यज्ञोपवीत,यज्ञोपवीत
ratania,रटानिया,रटानिया
vaganyache,वागण्याचे,वागण्याचे
deshbharamadhye,देशभरामध्ये,देशभरामध्ये
sughadpan,सुघड़पन,सुघड़पन
mohiwal,मोहीवाल,मोहीवाल
sarvasangrah,सर्वसंग्रह,सर्वसंग्रह
baseko,बसेको,बसेको
tumchyapaiki,तुमच्यापैकी,तुमच्यापैकी
kanyakubja,कान्यकुब्ज,कान्यकुब्ज
intoxination,इनटॉक्सिनेशन,इनटॉक्सिनेशन
maturity,मेच्यूरिटी,मेच्यूरिटी
agri,अगरी,अगरी
anukramanupat,अनुक्रमानुपात,अनुक्रमानुपात
dhulchand,धूलचन्द,धूलचन्द
avleha,अवलेह,अवलेह
abroard,एबरोर्ड,एबरोर्ड
ballers,बैलर्स,बैलर्स
bavli,बार्गली,बार्गली
punctured,पंक्चर्ड,पंक्चर्ड
hankers,हैंकर्स,हैंकर्स
jawanonke,जवानोंके,जवानोंके
painki,पौंकी,पौंकी
jagandham,जगनधाम,जगनधाम
ponnium,पोन्नियम,पोन्नियम
inba,आईएनबीए,आईएनबीए
vedalam,वेदलम,वेदलम
chinwas,चिनवास,चिनवास
maarvaadaa,मारवाड़ा,मारवाड़ा
ansamajha,अनसमझा,अनसमझा
istudent,इस्टूडेंट,इस्टूडेंट
duhkheet,दुःखीत,दुःखीत
sighanchi,सिघांची,सिघांची
shiksheche,शिक्षेचे,शिक्षेचे
ujwalatam,उज्वलतम,उज्वलतम
apattan,आपट्टन,आपट्टन
ambikavan,अम्बिकावन,अम्बिकावन
khagani,खगनी,खगनी
thiamine,थियामिन,थियामिन
sociological,सोशियोलाजिकल,सोशियोलाजिकल
epp,एप,एप
bhajpako,भाजपाको,भाजपाको
istithi,इस्तिथि,इस्तिथि
chhayatand,छायाटांड,छायाटांड
topwal,तोपवाल,तोपवाल
gudwaate,गुदवाते,गुदवाते
visleri,विसलेरी,विसलेरी
thermalpower,थर्मलपावर,थर्मलपावर
saanche,सांचे,सांचे
pintia,पिंटिया,पिंटिया
cantabil,कैंटाबिल,कैंटाबिल
arranging,अरेंजिंग,अरेंजिंग
vahinyansathi,वाहिन्यांसाठी,वाहिन्यांसाठी
itpa,आईटीपीए,आईटीपीए
pixelmator,पिक्सलमेटर,पिक्सलमेटर
pehnaayunga,पहनायूंगा,पहनायूंगा
madsen,मेडसन,मेडसन
vidayapeeth,विदयापीठ,विदयापीठ
rupayechi,रुपयेची,रुपयेची
najarbandi,नजरबन्दी,नजरबन्दी
kreechan,क्रीचन,क्रीचन
peshandhaariyon,पेशनधारियों,पेशनधारियों
dekhaloon,देखलूँ,देखलूँ
macleod,मैकलेड,मैकलेड
lokarachanaon,लोकरचनाओं,लोकरचनाओं
govindapura,गोविंदापुरा,गोविंदापुरा
ifn,आईएफएन,आईएफएन
rotweeler,रॉटवीलर,रॉटवीलर
ishwarpur,ईश्वरपुर,ईश्वरपुर
chaaritrya,चारित्र्य,चारित्र्य
explotion,एक्सप्लोशन,एक्सप्लोशन
yasminala,यास्मिनला,यास्मिनला
trikakara,त्रिकाकरा,त्रिकाकरा
satnaja,सतनाजा,सतनाजा
puchhen,पूछें,पूछें
dhansankat,धनसंकट,धनसंकट
kypernick,काइपरनिक,काइपरनिक
tejaswiya,तेजस्वीय,तेजस्वीय
schnyder,श्नाइडर,श्नाइडर
banhuk,बन्हुक,बन्हुक
bayanakia,बयानकिया,बयानकिया
madhumom,मधुमोम,मधुमोम
hsu,सु,सु
glues,ग्लूज़,ग्लूज़
cheelakara,चिल्लाकर,चिल्लाकर
gitam,जीआईटीएएम,जीआईटीएएम
srikala,श्रीकला,श्रीकला
laimpon,लैम्पों,लैम्पों
apayal,अपायल,अपायल
nephi,नेफियू,नेफियू
enclave,एंक्लेव,एंक्लेव
bhulanpur,भुलानपुर,भुलानपुर
vikendri,विकेंद्री,विकेंद्री
infant,इंफेंट,इंफेंट
lathhiyan,लाठियाँ,लाठियाँ
dhaaunga,ढाऊँगा,ढाऊँगा
kimatrick,किमैट्रिक,किमैट्रिक
gautamaache,गौतमाचे,गौतमाचे
farotka,फरोटका,फरोटका
aamay,आमय,आमय
chandanhari,चंदनहारी,चंदनहारी
decathon,डेकाथॉन,डेकाथॉन
aggret,एग्रेट,एग्रेट
purakhava,पुरखवा,पुरखवा
hypoglycin,हाइपोग्लाइसीन,हाइपोग्लाइसीन
mahwa,महवा,महवा
doobh,दूभ,दूभ
arjinder,अरजिन्द्र,अरजिन्द्र
shatiniketan,शातिनिकेतन,शातिनिकेतन
amargun,अमरगुन,अमरगुन
bhavpur,भावपुर,भावपुर
transcriptase,ट्रांसक्रिप्टेज़,ट्रांसक्रिप्टेज़
gantividhiyon,गंतिविधियों,गंतिविधियों
marukantar,मरुकांतर,मरुकांतर
hombaliyon,होमबलियों,होमबलियों
kurukshatre,कुरुक्षत्रे,कुरुक्षत्रे
unnatichi,उन्नतीची,उन्नतीची
wetlifting,वेटलिफ़्टिंग,वेटलिफ़्टिंग
nadru,नादरू,नादरू
palyekar,पालयेकर,पालयेकर
nikshepit,निक्षेपित,निक्षेपित
shasanabaddal,शासनाबद्दल,शासनाबद्दल
kollu,कोल्लू,कोल्लू
electorly,इलेक्ट्रली,इलेक्ट्रली
contates,कंटेट्स,कंटेट्स
kimbley,किम्बली,किम्बली
besaakh,बेसाख,बेसाख
aavishkaarko,आविष्कारको,आविष्कारको
shivik,शिविक,शिविक
yemul,येमुल,येमुल
shorrell,शोरेल,शोरेल
surpadma,सुरपद्मा,सुरपद्मा
jaydevsingh,जयदेवसिंह,जयदेवसिंह
compacturation,कॉम्पैक्चरेशन,कॉम्पैक्चरेशन
harmuz,हरमुज,हरमुज
app,एप्प,एप्प
alessa,अलेसा,अलेसा
jakhalla,जखल्ला,जखल्ला
gatishunyata,गतिशून्यता,गतिशून्यता
paapakrit,पापकृत,पापकृत
regimes,रेजीम्स,रेजीम्स
kalamassery,कलमस्सेरी,कलमस्सेरी
barola,बारोला,बारोला
paatliputra,पाटलिपुत्र,पाटलिपुत्र
utpadanashi,उत्पादनाशी,उत्पादनाशी
kurrubhat,कुर्रूभाट,कुर्रूभाट
jeevashmit,जीवाश्मित,जीवाश्मित
upalaghu,उपलघु,उपलघु
janeshwari,जनेश्वरी,जनेश्वरी
amaldaramat,अमलदरामत,अमलदरामत
pisal,पिसाल,पिसाल
rugnaseves,रुग्णसेवेस,रुग्णसेवेस
sanchaay,संचाय,संचाय
karamatullah,करामतुल्लाह,करामतुल्लाह
dhingcha,ढींगचा,ढींगचा
tisagar,तीसागर,तीसागर
gog,गॉग,गॉग
vinaypatrik,विनयपत्रिक,विनयपत्रिक
bhandarane,भांडाराने,भांडाराने
gnla,जीएनएलए,जीएनएलए
pundith,पंडितों,पंडितों
rochwell,रॉचवेल,रॉचवेल
nadimul,नदीमुल,नदीमुल
sarvasampatti,सर्वसम्पत्ति,सर्वसम्पत्ति
penkate,पेंकते,पेंकते
niklela,निकलेला,निकलेला
chintayate,चिन्तयते,चिन्तयते
aatmavigyaapan,आत्मविज्ञापन,आत्मविज्ञापन
breeweak,ब्रीवीक,ब्रीवीक
grahita,ग्रहित,ग्रहित
vishwarvidyalaya,विश्वरविद्यालय,विश्वरविद्यालय
nipe,एनआईपीई,एनआईपीई
tehuna,टेहुना,टेहुना
dimential,डायमेंशियल,डायमेंशियल
shaharakadun,शहराकडून,शहराकडून
nutrition,न्यूट्ररेशन,न्यूट्ररेशन
segamen,सेगमें,सेगमें
hadiol,हडियोल,हडियोल
cameramani,कैमरामैनी,कैमरामैनी
terque,तेरके,तेरके
prashnpatron,प्रश्नपत्रों,प्रश्नपत्रों
confluence,कंफ्लूएंस,कंफ्लूएंस
bankula,बांकुला,बांकुला
hollande,होलैंड,होलैंड
ovis,ओविस,ओविस
aatmosarg,आत्मोसर्ग,आत्मोसर्ग
taildharavat,तैलधारावत,तैलधारावत
makhaudaa,मखौड़ा,मखौड़ा
pekyong,पेक्योंग,पेक्योंग
laghugranth,लघुग्रंथ,लघुग्रंथ
uroma,उरोमा,उरोमा
shoth,शोथ,शोथ
ekbhai,एकभाई,एकभाई
angat,अंगत,अंगत
juridiction,जुरिडिक्शन,जुरिडिक्शन
vijayanand,विजयानंद,विजयानंद
tarakura,ताराकुरा,ताराकुरा
defence,डिफेंंस,डिफेंंस
potrille,पोट्रिले,पोट्रिले
thalruddh,थलरुद्ध,थलरुद्ध
tragedy,ट्रेज़ेडी,ट्रेज़ेडी
sarpat,सरपत,सरपत
kihen,किहें,किहें
ramendra,रमेंद्र,रमेंद्र
hansate,हंसाते,हंसाते
maritation,मेरिटेशन,मेरिटेशन
nipanisah,निपाणीसह,निपाणीसह
rihaayaten,रिहायतें,रिहायतें
jhaangar,झांगर,झांगर
mumbaikarib,मुंबईकरीब,मुंबईकरीब
hydershah,हैदरशाह,हैदरशाह
nerubel,नेरूबेल,नेरूबेल
sansthaanaat,संस्थानात,संस्थानात
lokachare,लोकाचारे,लोकाचारे
kemmanagundi,केम्मनगुंडी,केम्मनगुंडी
santoshani,संतोषनी,संतोषनी
sanketbaddhata,संकेतबद्धता,संकेतबद्धता
purushaay,पुरुषाय,पुरुषाय
baithalkar,बैठालकर,बैठालकर
chandrahari,चन्द्रहरी,चन्द्रहरी
jaimie,जैमी,जैमी
letala,लेटाला,लेटाला
vishwajaneenta,विश्वजनीनता,विश्वजनीनता
chhotke,छोटके,छोटके
barwadagh,बरवादाग,बरवादाग
ukhaadate,उखाड़ते,उखाड़ते
phalasakti,फलासक्ति,फलासक्ति
sharojinee,शरोजिनि,शरोजिनि
sja,एसजेए,एसजेए
bandakpur,बांदकपुर,बांदकपुर
subcriber,सब्क्राइबर,सब्क्राइबर
sthanikanchich,स्थानिकांचीच,स्थानिकांचीच
pagalmata,पागलमाता,पागलमाता
sudail,सुदैल,सुदैल
polymid,पॉलिमिड,पॉलिमिड
shukdeva,शुकदेवा,शुकदेवा
chromeset,क्रोमसेट,क्रोमसेट
pravasilal,प्रवासीलाल,प्रवासीलाल
fillment,फिलमेंट,फिलमेंट
hartlade,हार्टलेड,हार्टलेड
abin,एबीआईएन,एबीआईएन
ikbaljot,इकबालजोत,इकबालजोत
sanandon,सानंदों,सानंदों
parlimentary,पार्लीमैंटरी,पार्लीमैंटरी
minikit,मिनिकिट,मिनिकिट
arnala,अरनाला,अरनाला
phanishwar,फणीश्वर,फणीश्वर
inaritu,इनारितू,इनारितू
jaahi,जाही,जाही
yaprakaranicha,याप्रकरणीचा,याप्रकरणीचा
paidashisathi,पैदाशीसाठी,पैदाशीसाठी
sangdilon,संगदिलों,संगदिलों
bapula,बापूला,बापूला
takichya,टाकीच्या,टाकीच्या
santangelo,सेंटेंजेलो,सेंटेंजेलो
sitabhog,सीताभोग,सीताभोग
majidganj,मजीदगंज,मजीदगंज
silhi,सिल्ही,सिल्ही
tanmay,तनमय,तनमय
roopmatra,रूपमात्र,रूपमात्र
telikota,तेलीकोटा,तेलीकोटा
behashi,बेहाशी,बेहाशी
formdehyde,फॉर्मडिहाइड,फॉर्मडिहाइड
maanushik,मानुषिक,मानुषिक
traiser,ट्रेजर,ट्रेजर
dikrong,दीकरोंग,दीकरोंग
garamapuraa,गरमपुरा,गरमपुरा
bhoganaa,भोगना,भोगना
tourmline,टूर्मलाइन,टूर्मलाइन
parikshechehi,परीक्षेचेही,परीक्षेचेही
khemabaji,खेमाबाजी,खेमाबाजी
nageshwar,नागेश्वर,नागेश्वर
phupan,फुपन,फुपन
gilhariyan,गिलहरियां,गिलहरियां
amein,अमें,अमें
salsaladi,सलसलादी,सलसलादी
telcon,टेलकॉन,टेलकॉन
zabtashuda,ज़ब्तशुदा,ज़ब्तशुदा
collitz,कॉलिट्ज,कॉलिट्ज
hinoti,हिनोटी,हिनोटी
ghisulalji,घीसूलालजी,घीसूलालजी
structural,स्ट्रक्चरल,स्ट्रक्चरल
caplane,कैप्लेन,कैप्लेन
stranthlifting,स्ट्रैंथलिफटिंग,स्ट्रैंथलिफटिंग
darshpourn,दर्शपौर्ण,दर्शपौर्ण
iparksmart,आईपार्कस्मार्ट,आईपार्कस्मार्ट
antinational,एंटीनेशनल,एंटीनेशनल
upaswanon,उपस्वनों,उपस्वनों
elami,एलामी,एलामी
gairavyavaharacha,गैरव्यवहाराचा,गैरव्यवहाराचा
avishkarsheelta,अविष्कारशीलता,अविष्कारशीलता
muslemin,मुस्लेमिन,मुस्लेमिन
sourbazar,सोरबाजार,सोरबाजार
sahapaathi,सहपाठी,सहपाठी
soidhar,सोईधार,सोईधार
parbati,पर्वती,पर्वती
lokhandala,लोखंडाला,लोखंडाला
narsamhari,नरसंहारी,नरसंहारी
janmega,जन्मेगा,जन्मेगा
khotkaranchi,खोतकरांची,खोतकरांची
visualiser,विजुअलाइज़र,विजुअलाइज़र
basesamadhun,बसेसमधून,बसेसमधून
swaayatataa,स्वायतता,स्वायतता
vimarshaadi,विमर्शादि,विमर्शादि
mikmash,मिकमाश,मिकमाश
shaitanfish,शैतानफ़िश,शैतानफ़िश
madeh,मादेह,मादेह
chaiianya,चैतन्य,चैतन्य
batra,बत्तरा,बत्तरा
modsley,मोडस्ली,मोडस्ली
fafudnashak,फफूदनाशक,फफूदनाशक
saundaryikrit,सौंदर्यीकृत,सौंदर्यीकृत
poonjeegata,पूँजीगत,पूँजीगत
chellameshwar,चेल्लामेश्वर,चेल्लामेश्वर
vapes,वेप्स,वेप्स
marguerite,मारगुएराइट,मारगुएराइट
hypothermia,हाइपोथार्मिया,हाइपोथार्मिया
kyaamat,क्यामत,क्यामत
karnekaha,करनेकहा,करनेकहा
sanshodhankriya,संशोधनक्रिया,संशोधनक्रिया
scoparius,स्कोपैरियस,स्कोपैरियस
muvia,मुविया,मुविया
bellin,बेलिन,बेलिन
mahapalli,महापल्ली,महापल्ली
antardrishtise,अन्तर्दृष्टिसे,अन्तर्दृष्टिसे
palikantargat,पालिकांतर्गत,पालिकांतर्गत
badhauni,बढ़ौनी,बढ़ौनी
olamba,ओलंबा,ओलंबा
gharkulachya,घरकुलाच्या,घरकुलाच्या
rudraraju,रुद्राराजू,रुद्राराजू
angol,आंगोल,आंगोल
aartiya,आरतीय,आरतीय
parlekian,पार्लेकियन,पार्लेकियन
mitu,मीतू,मीतू
vespoli,वेसपोली,वेसपोली
ncerb,एनसीईआरबी,एनसीईआरबी
lipo,लिपो,लिपो
rankaji,रंकजी,रंकजी
nostro,नॉस्ट्रो,नॉस्ट्रो
maipal,मैपल,मैपल
rataundi,रतौंदी,रतौंदी
bhonsadi,भोंसड़ी,भोंसड़ी
videogram,वीडियोग्राम,वीडियोग्राम
trakrs,ट्रैकर्स,ट्रैकर्स
shreesher,श्रीशर,श्रीशर
karpeechhe,करपीछे,करपीछे
namik,निमिक,निमिक
environmental,एनवायरमेन्टल,एनवायरमेन्टल
dhulate,ढुलते,ढुलते
devrada,देवराडा,देवराडा
shallots,शॉलट्स,शॉलट्स
budharamji,बुधारामजी,बुधारामजी
srivaidya,श्रीवैद्य,श्रीवैद्य
waterton,वॉटरटन,वॉटरटन
shreysar,श्रेयसर,श्रेयसर
siddhasagar,सिद्धसागर,सिद्धसागर
sadigdho,सदिग्धो,सदिग्धो
biographer,बायोग्राफ़र,बायोग्राफ़र
neatherland,नीदरलैण्ड,नीदरलैण्ड
vangaon,वनगाँव,वनगाँव
kattigharon,कट्टीघरों,कट्टीघरों
bajuwale,बाजुवाले,बाजुवाले
chhatsigarh,छत्सीगढ़,छत्सीगढ़
chmet,चमेट,चमेट
dhart,धर्त,धर्त
lohiyaan,लोहियाँ,लोहियाँ
hathibed,हथिबद,हथिबद
tarunambaddal,तरुणांबद्दल,तरुणांबद्दल
nccpa,एनसीसीपीए,एनसीसीपीए
devyn,डेविन,डेविन
jhuriwala,झुरीवाला,झुरीवाला
mudyakade,मुद्याकडे,मुद्याकडे
gathkari,गठकरी,गठकरी
anuyayiyonmein,अनुयायियोंमें,अनुयायियोंमें
sambhokta,संभोक्ता,संभोक्ता
gumm,गुम्म,गुम्म
tankaron,टंकारों,टंकारों
gavachya,गावाच्या,गावाच्या
germanjeet,जर्मनजीत,जर्मनजीत
mallavolu,मल्लावोलु,मल्लावोलु
vaibhavata,वैभवता,वैभवता
sungress,सनग्रेस,सनग्रेस
cpib,सीपीआईबी,सीपीआईबी
choonchi,चूँची,चूँची
lekhipatradware,लेखीपत्राद्वारे,लेखीपत्राद्वारे
keechadyukt,कीचडयुक्त,कीचडयुक्त
sirhan,सिरहन,सिरहन
katario,कटारियो,कटारियो
samardhak,समर्धक,समर्धक
sopsing,सोपसिंग,सोपसिंग
pusdarkar,पुसदरकर,पुसदरकर
esophageal,ईसोफेजियल,ईसोफेजियल
ravindrachi,रवींद्रची,रवींद्रची
uttarjan,उत्तर्जन,उत्तर्जन
spectometer,स्पेक्टोमीटर,स्पेक्टोमीटर
chandipati,चांदीपाटी,चांदीपाटी
natu,नटू,नटू
nuiya,नुइया,नुइया
selebi,सेलेबी,सेलेबी
achcho,अच्छो,अच्छो
ghutka,घुटका,घुटका
baramahi,बारामाही,बारामाही
gunase,गुणसे,गुणसे
anunaasikta,अनुनासिकता,अनुनासिकता
harapan,हरपन,हरपन
yonhop,यॉनहॉप,यॉनहॉप
updeshse,उपदेशसे,उपदेशसे
vetekar,वेटेकर,वेटेकर
kevyapar,केव्यापार,केव्यापार
aashcharyabodhak,आश्चर्यबोधक,आश्चर्यबोधक
manavtala,मानवतला,मानवतला
vartavanukivarun,वर्तवणुकीवरून,वर्तवणुकीवरून
malayaza,मलयज,मलयज
notification,नोटीफ़िकेशन,नोटीफ़िकेशन
karyadaman,कार्यदमन,कार्यदमन
hashid,हशीद,हशीद
pheasant,फेज़ेण्ट,फेज़ेण्ट
sundarvati,सुंदरवती,सुंदरवती
gaddhari,गद्धारी,गद्धारी
confident,कानफिडेंट,कानफिडेंट
farmnu,फर्मनु,फर्मनु
jhonkati,झोंकती,झोंकती
taazadaar,ताज़दार,ताज़दार
smerat,स्मेरत,स्मेरत
chanditala,चंडीताला,चंडीताला
sanchchiyay,संच्चियाय,संच्चियाय
junul,जुनूल,जुनूल
aapsas,आपसास,आपसास
ayogasathi,आयोगासाठी,आयोगासाठी
squared,स्कयर्ड,स्कयर्ड
jodapyan,जोडप्यां,जोडप्यां
vihaksh,विहक्ष,विहक्ष
swapnat,स्वप्नात,स्वप्नात
bischoff,बिशोफ़,बिशोफ़
brahmcharyadharma,ब्रह्मचर्यधर्म,ब्रह्मचर्यधर्म
adrianople,एड्रियनोपल,एड्रियनोपल
soofiyan,सूफियां,सूफियां
shrimantichi,श्रीमंतीची,श्रीमंतीची
poush,पौष,पौष
pasalwar,पसलवार,पसलवार
conformity,कंफर्मिटी,कंफर्मिटी
erythematosus,एरिथिमेटस,एरिथिमेटस
karyapranalibabat,कार्यप्रणालीबाबत,कार्यप्रणालीबाबत
subaahya,सुबाह्य,सुबाह्य
vrtopavaas,व्रतोपवास,व्रतोपवास
schwenk,स्वेंक,स्वेंक
hanglu,हैंग्लू,हैंग्लू
kaalkey,कालके,कालके
arjanu,अर्जनु,अर्जनु
spdt,एसपीडीटी,एसपीडीटी
aspasa,आसपासा,आसपासा
jinmeiy,जिनमेइयो,जिनमेइयो
jalautra,जलौत्रा,जलौत्रा
seavers,सीवर्स,सीवर्स
abhipreranaa,अभिप्रेरणा,अभिप्रेरणा
thobde,थोबडे,थोबडे
sanchmanyata,संचमान्यता,संचमान्यता
sangharshaane,संघर्षाने,संघर्षाने
biskohar,बिसकोहर,बिसकोहर
shivaraju,शिवराजु,शिवराजु
pranathi,प्रनाथी,प्रनाथी
neeyak,नीयक,नीयक
shigeru,सिगेरू,सिगेरू
kinrara,किनारा,किनारा
passus,पासस,पासस
tjac,टीजेएसी,टीजेएसी
naffa,नफ्फा,नफ्फा
ginde,गिंदे,गिंदे
popatwadi,पोपटवाड़ी,पोपटवाड़ी
hinjilicut,हिंजिलिकट,हिंजिलिकट
aavartanache,आवर्तनाचे,आवर्तनाचे
sabalpura,सबलपुरा,सबलपुरा
staubli,स्टौब्ली,स्टौब्ली
balamurukan,बालामुरूकन,बालामुरूकन
escap,एस्कैप,एस्कैप
bhoranjwasi,भोरंजवासी,भोरंजवासी
samboora,साम्बूरा,साम्बूरा
sudharanemadhye,सुधारणेमध्ये,सुधारणेमध्ये
catalbound,कैटलबाउंड,कैटलबाउंड
fracing,फ्रेसिंग,फ्रेसिंग
kendela,केंडेला,केंडेला
subahaan,सुबहान,सुबहान
kiranmal,किरणमल,किरणमल
sogya,सोग्या,सोग्या
jeweltheep,ज्वेलथीप,ज्वेलथीप
elda,एल्डा,एल्डा
musari,मुसारी,मुसारी
khoonprakarani,खूनप्रकरणी,खूनप्रकरणी
lohakheda,लोहाखेड़ा,लोहाखेड़ा
bajuganj,बाजूगंज,बाजूगंज
geezer,गीजर,गीजर
irda,अाईआरडीए,अाईआरडीए
upaayaadhyaksh,उपायाध्यक्ष,उपायाध्यक्ष
doce,डूस,डूस
bodhicharyavtar,बोधिचर्यावतार,बोधिचर्यावतार
bhogyukt,भोगयुक्त,भोगयुक्त
subbanghat,सुब्बनघाट,सुब्बनघाट
gandhase,गंधसे,गंधसे
satyakiran,सत्यकिरण,सत्यकिरण
morgon,मोर्गों,मोर्गों
poonjeepati,पूंजीपति,पूंजीपति
unkegalat,उनकेगलत,उनकेगलत
pitthi,पिट्ठी,पिट्ठी
ghormanagar,गोरामंगर,गोरामंगर
brisket,ब्रिस्केट,ब्रिस्केट
bicycle,बायसायकिल,बायसायकिल
bhashabhed,भाषाभेद,भाषाभेद
sadhtil,साधतील,साधतील
modly,मोदली,मोदली
saparaksha,सपरक्षा,सपरक्षा
pannawala,पन्नवाला,पन्नवाला
karmanshah,कर्मनशाह,कर्मनशाह
tyanchyasarkha,त्यांच्यासारखा,त्यांच्यासारखा
antarskool,अंतरस्कूल,अंतरस्कूल
sheshi,शेशी,शेशी
pakodiyaan,पकोड़ियाँ,पकोड़ियाँ
portobello,पोर्टबेलो,पोर्टबेलो
hillig,हिलिग,हिलिग
horticulture,हार्टीकल्चर,हार्टीकल्चर
doddaballapur,दोड्डबल्लापुर,दोड्डबल्लापुर
kuche,कूचे,कूचे
chellapilla,चेलपिल्ला,चेलपिल्ला
khpil,खपिल्,खपिल्
aprsann,अप्रसन्न,अप्रसन्न
mukhyapeeth,मुख्यपीठ,मुख्यपीठ
thakal,थकल,थकल
udasintene,उदासीनतेने,उदासीनतेने
raagniyaan,रागनियाँ,रागनियाँ
godamiyat,गोदामियत,गोदामियत
baichane,बैचने,बैचने
gunvattaprapt,गुणवत्ताप्राप्त,गुणवत्ताप्राप्त
hessa,हेस्सा,हेस्सा
lorta,लोरटा,लोरटा
vidmaan,विद्मान,विद्मान
saathiyen,साथियें,साथियें
latkaleli,लटकलेली,लटकलेली
palithin,पालिथीन,पालिथीन
ramchandrasuri,रामचन्द्रसूरि,रामचन्द्रसूरि
boneta,बोनेटा,बोनेटा
firtarat,फिरतरत,फिरतरत
jhontwada,झोंटवाड़ा,झोंटवाड़ा
bhamidpati,भामिदपति,भामिदपति
samort,समोर्ट,समोर्ट
vrikshabandhan,वृक्षाबन्धन,वृक्षाबन्धन
toulouse,टूलूज,टूलूज
diab,दियाब,दियाब
